Region,	 Month of Period End    Measure Names   Measure Values
Manhattan, NY	August 2022	Homes Sold MoM 	0.111425873
Manhattan, NY	July 2022	Homes Sold MoM 	-0.199546485
Manhattan, NY	June 2022	Homes Sold MoM 	0.154450262
Manhattan, NY	May 2022	Homes Sold MoM 	0.074039363
Manhattan, NY	April 2022	Homes Sold MoM 	-0.106365159
Manhattan, NY	March 2022	Homes Sold MoM 	0.201207243
Manhattan, NY	February 2022	Homes Sold MoM 	-0.050620821
Manhattan, NY	January 2022	Homes Sold MoM 	-0.058453237
Manhattan, NY	December 2021	Homes Sold MoM 	0.128934010
Manhattan, NY	March 2023	Homes Sold	654
Manhattan, NY	February 2023	Homes Sold	577
Manhattan, NY	January 2023	Homes Sold	628
Manhattan, NY	December 2022	Homes Sold	661
Manhattan, NY	November 2022	Homes Sold	733
Manhattan, NY	October 2022	Homes Sold	811
Manhattan, NY	September 2022	Homes Sold	970
Manhattan, NY	August 2022	Homes Sold	1177
Manhattan, NY	July 2022	Homes Sold	1059
Manhattan, NY	June 2022	Homes Sold	1323
Manhattan, NY	May 2022	Homes Sold	1146
Manhattan, NY	April 2022	Homes Sold	1067
Manhattan, NY	March 2022	Homes Sold	1194
Manhattan, NY	February 2022	Homes Sold	994
Manhattan, NY	January 2022	Homes Sold	1047
Manhattan, NY	December 2021	Homes Sold	1112
Manhattan, NY	March 2023	Median Sale Price YoY 	0.037924152
Manhattan, NY	February 2023	Median Sale Price YoY 	-0.034126984
Manhattan, NY	January 2023	Median Sale Price YoY 	-0.169811321
Manhattan, NY	December 2022	Median Sale Price YoY 	0.008064516
Manhattan, NY	November 2022	Median Sale Price YoY 	0.023404255
Manhattan, NY	October 2022	Median Sale Price YoY 	-0.039583333
Manhattan, NY	September 2022	Median Sale Price YoY 	0.105652174
Manhattan, NY	August 2022	Median Sale Price YoY 	0.067796610
Manhattan, NY	July 2022	Median Sale Price YoY 	-0.030303030
Manhattan, NY	June 2022	Median Sale Price YoY 	0.003875969
Manhattan, NY	May 2022	Median Sale Price YoY 	0.041666667
Manhattan, NY	April 2022	Median Sale Price YoY 	0.111788618
Manhattan, NY	March 2022	Median Sale Price YoY 	0.032989691
Manhattan, NY	February 2022	Median Sale Price YoY 	0.177570093
Manhattan, NY	January 2022	Median Sale Price YoY 	0.168749835
Manhattan, NY	December 2021	Median Sale Price YoY 	0.055319149
Manhattan, NY	March 2023	Median Sale Price MoM 	0.068200493
Manhattan, NY	February 2023	Median Sale Price MoM 	0.106363636
Manhattan, NY	January 2023	Median Sale Price MoM 	-0.12
Manhattan, NY	December 2022	Median Sale Price MoM 	0.039501040
Manhattan, NY	November 2022	Median Sale Price MoM 	0.043383948
Manhattan, NY	October 2022	Median Sale Price MoM 	-0.093590248
Manhattan, NY	September 2022	Median Sale Price MoM 	0.009126984
Manhattan, NY	August 2022	Median Sale Price MoM 	0.050000000
Manhattan, NY	July 2022	Median Sale Price MoM 	-0.073359073
Manhattan, NY	June 2022	Median Sale Price MoM 	0.036
Manhattan, NY	May 2022	Median Sale Price MoM 	-0.085923218
Manhattan, NY	April 2022	Median Sale Price MoM 	0.091816367
Manhattan, NY	March 2022	Median Sale Price MoM 	-0.005952381
Manhattan, NY	February 2022	Median Sale Price MoM 	-0.049056604
Manhattan, NY	January 2022	Median Sale Price MoM 	0.068548387
Manhattan, NY	December 2021	Median Sale Price MoM 	0.055319149
Manhattan, NY	March 2023	Median Sale Price	1300000
Manhattan, NY	February 2023	Median Sale Price	1217000
Manhattan, NY	January 2023	Median Sale Price	1100000
Manhattan, NY	December 2022	Median Sale Price	1250000
Manhattan, NY	November 2022	Median Sale Price	1202500
Manhattan, NY	October 2022	Median Sale Price	1152500
Manhattan, NY	September 2022	Median Sale Price	1271500
Manhattan, NY	August 2022	Median Sale Price	1260000
Manhattan, NY	July 2022	Median Sale Price	1200000
Manhattan, NY	June 2022	Median Sale Price	1295000
Manhattan, NY	May 2022	Median Sale Price	1250000
Manhattan, NY	April 2022	Median Sale Price	1367500
Manhattan, NY	March 2022	Median Sale Price	1252500
Manhattan, NY	February 2022	Median Sale Price	1260000
Manhattan, NY	January 2022	Median Sale Price	1325000
Manhattan, NY	December 2021	Median Sale Price	1240000

